,bed,cabinet,table,chair,painting,shelf,rug,lamp,screen,apparel,clock,cushion
frame_id_0001.jpg,-1,-1,-1,-1,-1,-1,-1,-1,-1,11,-1,-1
frame_id_0002.jpg,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
frame_id_0003.jpg,-1,-1,-1,-1,-1,-1,-1,-1,-1,11,-1,-1
frame_id_0004.jpg,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
frame_id_0005.jpg,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
frame_id_0006.jpg,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
frame_id_0007.jpg,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
frame_id_0008.jpg,-1,10,-1,9,-1,-1,-1,-1,-1,11,-1,-1
frame_id_0009.jpg,-1,9,-1,10,-1,-1,-1,-1,-1,11,-1,-1
frame_id_0010.jpg,-1,9,-1,10,-1,-1,-1,-1,-1,11,-1,-1
frame_id_0011.jpg,-1,9,-1,10,-1,-1,-1,-1,-1,11,-1,-1
frame_id_0012.jpg,-1,9,-1,10,-1,-1,-1,-1,-1,11,-1,-1
frame_id_0013.jpg,-1,-1,-1,10,-1,-1,-1,-1,-1,11,-1,-1
frame_id_0014.jpg,-1,9,-1,10,-1,-1,-1,-1,-1,11,-1,-1
frame_id_0015.jpg,-1,9,-1,10,-1,-1,-1,-1,-1,11,-1,-1
frame_id_0016.jpg,-1,9,-1,10,-1,-1,-1,-1,-1,11,-1,-1
frame_id_0017.jpg,-1,9,-1,10,-1,-1,-1,-1,-1,11,-1,-1
frame_id_0018.jpg,-1,9,-1,10,-1,-1,-1,-1,-1,11,-1,-1
frame_id_0019.jpg,-1,10,-1,-1,-1,-1,-1,-1,-1,11,-1,-1
frame_id_0020.jpg,-1,-1,-1,-1,-1,-1,-1,-1,-1,11,-1,-1
frame_id_0021.jpg,-1,-1,-1,-1,-1,-1,-1,-1,-1,11,-1,-1
frame_id_0022.jpg,-1,10,-1,-1,-1,-1,-1,-1,-1,11,-1,-1
frame_id_0023.jpg,-1,10,-1,-1,-1,-1,-1,-1,-1,11,-1,-1
frame_id_0024.jpg,-1,10,-1,-1,-1,-1,-1,-1,-1,11,-1,-1
frame_id_0025.jpg,-1,10,-1,-1,-1,-1,-1,-1,-1,11,-1,-1
frame_id_0026.jpg,-1,10,-1,-1,-1,-1,-1,-1,-1,11,-1,-1
frame_id_0027.jpg,-1,10,-1,-1,-1,-1,-1,-1,-1,11,-1,-1
frame_id_0028.jpg,-1,10,-1,-1,-1,-1,-1,-1,-1,11,-1,-1
frame_id_0029.jpg,-1,10,-1,-1,-1,-1,-1,-1,-1,11,-1,-1
frame_id_0030.jpg,-1,11,-1,-1,-1,-1,-1,-1,-1,10,-1,-1
frame_id_0031.jpg,-1,11,-1,-1,-1,-1,-1,-1,-1,10,-1,-1
frame_id_0032.jpg,-1,11,-1,-1,-1,-1,-1,-1,-1,10,-1,-1
frame_id_0033.jpg,-1,11,-1,-1,-1,-1,-1,-1,-1,10,-1,-1
frame_id_0034.jpg,-1,11,-1,-1,-1,-1,-1,-1,-1,10,-1,-1
frame_id_0035.jpg,-1,11,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
frame_id_0036.jpg,-1,11,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
frame_id_0037.jpg,-1,11,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
frame_id_0038.jpg,-1,11,-1,-1,-1,-1,-1,-1,-1,10,-1,-1
frame_id_0039.jpg,-1,11,-1,-1,-1,-1,-1,-1,-1,10,-1,-1
frame_id_0040.jpg,-1,11,-1,-1,-1,-1,-1,-1,-1,10,-1,-1
frame_id_0041.jpg,-1,10,-1,-1,-1,-1,-1,9,-1,11,-1,-1
frame_id_0042.jpg,-1,10,-1,-1,-1,-1,-1,9,-1,11,-1,-1
frame_id_0043.jpg,-1,10,-1,-1,-1,8,-1,9,-1,11,-1,-1
frame_id_0044.jpg,-1,10,-1,-1,-1,9,-1,-1,-1,11,-1,-1
frame_id_0045.jpg,-1,10,-1,-1,-1,9,-1,-1,-1,11,-1,-1
frame_id_0046.jpg,-1,10,-1,-1,-1,9,-1,-1,-1,11,-1,-1
frame_id_0047.jpg,-1,10,-1,-1,-1,9,-1,-1,-1,11,-1,-1
frame_id_0048.jpg,-1,10,-1,-1,-1,9,-1,-1,-1,11,-1,-1
frame_id_0049.jpg,-1,10,-1,-1,-1,9,-1,-1,-1,11,-1,-1
frame_id_0050.jpg,-1,10,-1,-1,-1,9,-1,-1,-1,11,-1,-1
frame_id_0051.jpg,-1,10,-1,-1,8,9,-1,-1,-1,11,-1,-1
frame_id_0052.jpg,-1,10,-1,-1,8,9,-1,-1,-1,11,-1,-1
frame_id_0053.jpg,-1,10,-1,8,7,9,-1,-1,-1,11,-1,-1
frame_id_0054.jpg,-1,10,-1,9,8,-1,-1,-1,-1,11,-1,-1
frame_id_0055.jpg,-1,10,-1,9,7,8,-1,-1,-1,11,-1,-1
frame_id_0056.jpg,-1,9,-1,10,8,7,-1,-1,-1,11,-1,-1
frame_id_0057.jpg,-1,-1,-1,10,9,-1,-1,-1,-1,11,-1,-1
frame_id_0058.jpg,7,8,-1,10,9,-1,-1,-1,-1,11,-1,-1
frame_id_0059.jpg,-1,9,-1,11,-1,-1,-1,-1,-1,10,-1,-1
frame_id_0060.jpg,-1,9,-1,11,-1,8,-1,-1,-1,10,-1,-1
frame_id_0061.jpg,-1,9,-1,11,-1,8,-1,-1,-1,10,-1,-1
frame_id_0062.jpg,-1,9,-1,11,-1,8,-1,-1,-1,10,-1,-1
frame_id_0063.jpg,-1,9,-1,11,-1,8,-1,-1,-1,10,-1,-1
frame_id_0064.jpg,-1,8,-1,11,-1,9,-1,-1,-1,10,-1,-1
frame_id_0065.jpg,-1,9,-1,11,-1,-1,-1,-1,-1,10,-1,-1
frame_id_0066.jpg,-1,9,-1,11,-1,-1,-1,-1,-1,10,-1,-1
frame_id_0067.jpg,-1,8,-1,11,-1,-1,-1,9,-1,10,-1,-1
frame_id_0068.jpg,-1,-1,-1,11,-1,-1,10,-1,-1,9,-1,-1
frame_id_0069.jpg,-1,-1,-1,11,-1,-1,10,-1,-1,-1,-1,-1
frame_id_0070.jpg,-1,-1,-1,11,-1,-1,10,-1,-1,-1,-1,-1
frame_id_0071.jpg,9,-1,-1,11,-1,-1,10,-1,-1,-1,-1,-1
frame_id_0072.jpg,-1,-1,-1,11,-1,9,10,-1,-1,-1,-1,-1
frame_id_0073.jpg,-1,-1,-1,11,-1,-1,10,-1,-1,-1,-1,-1
frame_id_0074.jpg,-1,-1,-1,11,-1,-1,10,-1,-1,-1,-1,-1
frame_id_0075.jpg,-1,-1,-1,11,-1,-1,10,-1,-1,-1,-1,-1
frame_id_0076.jpg,-1,-1,-1,11,-1,-1,10,-1,-1,-1,-1,-1
frame_id_0077.jpg,-1,10,-1,11,-1,-1,-1,-1,-1,-1,-1,-1
frame_id_0078.jpg,-1,10,-1,11,-1,-1,9,-1,-1,-1,-1,-1
frame_id_0079.jpg,-1,10,-1,11,-1,-1,9,-1,-1,-1,-1,-1
frame_id_0080.jpg,-1,10,-1,11,-1,-1,9,-1,-1,-1,-1,-1
frame_id_0081.jpg,-1,10,-1,11,-1,-1,-1,-1,-1,-1,-1,-1
frame_id_0082.jpg,-1,9,-1,11,-1,10,-1,-1,-1,-1,-1,-1
frame_id_0083.jpg,-1,10,-1,11,-1,-1,-1,-1,-1,-1,-1,-1
frame_id_0084.jpg,-1,10,-1,11,-1,-1,-1,-1,-1,-1,-1,-1
frame_id_0085.jpg,-1,10,-1,11,-1,9,-1,-1,-1,-1,-1,-1
frame_id_0086.jpg,10,9,-1,11,-1,8,-1,7,6,-1,-1,-1
frame_id_0087.jpg,-1,10,-1,11,-1,-1,-1,-1,-1,-1,-1,-1
frame_id_0088.jpg,-1,11,-1,9,-1,-1,-1,-1,10,-1,-1,-1
frame_id_0089.jpg,-1,11,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
frame_id_0090.jpg,-1,-1,-1,11,-1,-1,-1,-1,-1,-1,-1,-1
frame_id_0091.jpg,-1,-1,-1,11,-1,-1,-1,-1,-1,-1,-1,-1
frame_id_0092.jpg,-1,11,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
frame_id_0093.jpg,-1,11,-1,-1,-1,-1,-1,10,-1,-1,-1,-1
frame_id_0094.jpg,-1,-1,-1,-1,-1,-1,-1,11,-1,-1,-1,-1
frame_id_0095.jpg,-1,-1,-1,-1,-1,-1,11,-1,-1,-1,-1,-1
frame_id_0096.jpg,-1,-1,-1,-1,-1,-1,-1,11,-1,-1,-1,-1
frame_id_0097.jpg,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
frame_id_0098.jpg,-1,-1,-1,-1,-1,-1,10,11,-1,-1,-1,-1
frame_id_0099.jpg,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
frame_id_0100.jpg,-1,9,-1,-1,10,-1,11,-1,-1,-1,-1,-1
frame_id_0101.jpg,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
frame_id_0102.jpg,-1,-1,-1,-1,-1,-1,-1,11,-1,-1,-1,-1
frame_id_0103.jpg,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
frame_id_0104.jpg,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
frame_id_0105.jpg,-1,-1,-1,-1,-1,-1,-1,11,-1,-1,-1,-1
frame_id_0106.jpg,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
frame_id_0107.jpg,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
frame_id_0108.jpg,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
frame_id_0109.jpg,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
frame_id_0110.jpg,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
frame_id_0111.jpg,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
frame_id_0112.jpg,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
frame_id_0113.jpg,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
frame_id_0114.jpg,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
frame_id_0115.jpg,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
frame_id_0116.jpg,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
frame_id_0117.jpg,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
frame_id_0118.jpg,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
frame_id_0119.jpg,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
frame_id_0120.jpg,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
frame_id_0121.jpg,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
frame_id_0122.jpg,-1,-1,-1,-1,-1,-1,-1,11,-1,-1,-1,-1
frame_id_0123.jpg,-1,-1,-1,-1,-1,-1,-1,11,-1,-1,-1,-1
frame_id_0124.jpg,-1,-1,-1,-1,-1,-1,-1,11,-1,-1,-1,-1
frame_id_0125.jpg,-1,-1,11,-1,-1,-1,-1,-1,-1,-1,-1,-1
