//X Y Z R G B
30415
-4.7622885704040527 4.1235938072204590 -2.6894512176513672 255 176 0
-5.1306595802307129 1.7635699510574341 -1.0155277252197266 255 176 0
-5.1372742652893066 3.0429904460906982 -1.8623784780502319 255 176 0
-5.1143755912780762 2.9900219440460205 -1.8498055934906006 255 176 0
-5.1886210441589355 3.8623573780059814 -2.8537821769714355 255 176 0
-4.7626938819885254 4.0563325881958008 -2.7701246738433838 255 176 0
-5.0765357017517090 2.6172866821289063 -2.0342910289764404 255 176 0
-4.8463454246520996 4.0721001625061035 -2.5691156387329102 255 176 0
-5.1111917495727539 2.5114014148712158 -1.5923198461532593 255 176 0
-4.8549637794494629 4.0612392425537109 -2.8127565383911133 255 176 0
-5.1702322959899902 3.8521156311035156 -2.8593139648437500 255 176 0
-5.1158819198608398 2.4091269969940186 -1.6648706197738647 255 176 0
-5.0571403503417969 2.3669469356536865 -1.7932063341140747 255 176 0
-5.2796611785888672 2.8236525058746338 -1.7344726324081421 255 176 0
-5.0842475891113281 2.5710020065307617 -1.9940905570983887 255 176 0
-5.2439775466918945 3.0573120117187500 -2.0231640338897705 255 176 0
-5.0817551612854004 2.8296260833740234 -2.4557278156280518 255 176 0
-5.0148143768310547 3.9929003715515137 -2.5780844688415527 255 176 0
-4.7713465690612793 4.1122388839721680 -2.6412944793701172 255 176 0
-5.0891470909118652 2.1755604743957520 -1.8096365928649902 255 176 0
-5.1332373619079590 1.4715131521224976 -1.2087223529815674 255 176 0
-4.7791333198547363 4.4938611984252930 -2.6398730278015137 255 176 0
-5.1232829093933105 2.8338770866394043 -1.7395538091659546 255 176 0
-4.8127002716064453 4.0185799598693848 -2.9028639793395996 255 176 0
-5.0958318710327148 2.7973134517669678 -1.7607109546661377 255 176 0
-5.1850261688232422 2.4269189834594727 -1.4882551431655884 255 176 0
-4.9322400093078613 2.2531788349151611 -1.6765370368957520 255 176 0
-5.0651268959045410 2.9288370609283447 -1.8390783071517944 255 176 0
-5.0579404830932617 2.9986841678619385 -1.8145612478256226 255 176 0
-5.2722406387329102 2.7493219375610352 -1.2877018451690674 255 176 0
-5.1991548538208008 2.5840983390808105 -1.5976938009262085 255 176 0
-5.6535787582397461 3.3565645217895508 -1.6832034587860107 255 176 0
-4.7587161064147949 4.1512970924377441 -2.4775002002716064 255 176 0
-5.3202271461486816 2.7980849742889404 -1.7682778835296631 255 176 0
-5.1555647850036621 2.9251027107238770 -2.0196685791015625 255 176 0
-5.4338250160217285 3.3031647205352783 -1.8548648357391357 255 176 0
-5.0478820800781250 4.0831360816955566 -2.4255919456481934 255 176 0
-5.1239571571350098 2.7817664146423340 -1.3690568208694458 255 176 0
-5.1606378555297852 2.7468018531799316 -1.3452243804931641 255 176 0
-5.3619823455810547 4.2142643928527832 -2.9213721752166748 255 176 0
-5.2999758720397949 3.1004528999328613 -1.9355552196502686 255 176 0
-5.2697176933288574 2.5873017311096191 -1.6557949781417847 255 176 0
-5.0347061157226563 2.6789767742156982 -1.3098206520080566 255 176 0
-6.8879761695861816 4.6123900413513184 -1.8436530828475952 255 176 0
-5.2809319496154785 2.7436985969543457 -1.3343660831451416 255 176 0
-5.0708732604980469 2.9155333042144775 -1.4566005468368530 255 176 0
-5.0642986297607422 2.6562910079956055 -1.2931102514266968 255 176 0
-4.8963022232055664 2.4383149147033691 -1.2981734275817871 255 176 0
-4.8843703269958496 2.2768037319183350 -1.5273381471633911 255 176 0
-4.9133191108703613 4.3327512741088867 -3.1175801753997803 255 176 0
-5.3634009361267090 3.1296811103820801 -2.1267509460449219 255 176 0
-5.2136030197143555 3.1709296703338623 -2.0473365783691406 255 176 0
-5.1061391830444336 2.5747475624084473 -1.8553284406661987 255 176 0
-4.5814337730407715 4.0451297760009766 -2.6855380535125732 255 176 0
-4.8947415351867676 3.7555363178253174 -2.3809821605682373 255 176 0
