Frame,labels,Labels
0,"['short', 'house', 'tour', 'video', 'today']",[],[]
1,"['short', 'house', 'tour', 'video', 'today']",[],[]
2,"['short', 'house', 'tour', 'video', 'today']",[],[]
3,"['short', 'house', 'tour', 'video', 'today']",[],[]
4,"['short', 'house', 'tour', 'video', 'today']",[],[]
5,"['short', 'house', 'tour', 'video', 'today']",[],[]
6,"['short', 'house', 'tour', 'video', 'today']",[],[]
7,"['short', 'house', 'tour', 'video', 'today']",[],[]
8,"['short', 'house', 'tour', 'video', 'today']",[],[]
9,"['short', 'house', 'tour', 'video', 'today']",[],[]
10,"['short', 'house', 'tour', 'video', 'today']",[],[]
11,"['short', 'house', 'tour', 'video', 'today']",[],[]
12,"['short', 'house', 'tour', 'video', 'today']",[],[]
13,"['short', 'house', 'tour', 'video', 'today']",[],[]
14,"['short', 'house', 'tour', 'video', 'today']",[],[]
15,"['short', 'house', 'tour', 'video', 'today']",[],[]
16,"['short', 'house', 'tour', 'video', 'today']",[],[]
17,"['short', 'house', 'tour', 'video', 'today']",[],[]
18,"['short', 'house', 'tour', 'video', 'today']",[],[]
19,"['short', 'house', 'tour', 'video', 'today']",[],[]
20,"['short', 'house', 'tour', 'video', 'today']",[],[]
21,"['short', 'house', 'tour', 'video', 'today']",[],[]
22,"['short', 'house', 'tour', 'video', 'today']",[],[]
23,"['short', 'house', 'tour', 'video', 'today']",[],[]
24,"['short', 'house', 'tour', 'video', 'today']",[],[]
25,"['short', 'house', 'tour', 'video', 'today']",[],[]
26,"['short', 'house', 'tour', 'video', 'today']",[],[]
27,"['short', 'house', 'tour', 'video', 'today']",[],[]
28,"['short', 'house', 'tour', 'video', 'today']",[],[]
29,"['short', 'house', 'tour', 'video', 'today']",[],[]
30,"['short', 'house', 'tour', 'video', 'today']",[],[]
31,"['short', 'house', 'tour', 'video', 'today']",[],[]
32,"['short', 'house', 'tour', 'video', 'today']",[],[]
33,"['short', 'house', 'tour', 'video', 'today']",[],[]
34,"['short', 'house', 'tour', 'video', 'today']",[],[]
35,"['short', 'house', 'tour', 'video', 'today']",[],[]
36,"['short', 'house', 'tour', 'video', 'today']",[],[]
37,"['short', 'house', 'tour', 'video', 'today']",[],[]
38,"['short', 'house', 'tour', 'video', 'today']",[],[]
39,"['short', 'house', 'tour', 'video', 'today']",[],[]
40,"['short', 'house', 'tour', 'video', 'today']",[],[]
41,"['short', 'house', 'tour', 'video', 'today']",[],[]
42,"['short', 'house', 'tour', 'video', 'today']",[],[]
43,"['short', 'house', 'tour', 'video', 'today']",[],[]
44,"['short', 'house', 'tour', 'video', 'today']",[],[]
45,"['short', 'house', 'tour', 'video', 'today']",[],[]
46,"['short', 'house', 'tour', 'video', 'today']",[],[]
47,"['short', 'house', 'tour', 'video', 'today']",[],[]
48,"['short', 'house', 'tour', 'video', 'today']",[],[]
49,"['short', 'house', 'tour', 'video', 'today']",[],[]
50,"['short', 'house', 'tour', 'video', 'today']",[],[]
51,"['short', 'house', 'tour', 'video', 'today']",[],[]
52,"['short', 'house', 'tour', 'video', 'today']",[],[]
53,"['short', 'house', 'tour', 'video', 'today']",[],[]
54,"['short', 'house', 'tour', 'video', 'today']",[],[]
55,"['short', 'house', 'tour', 'video', 'today']",[],[]
56,"['short', 'house', 'tour', 'video', 'today']",[],[]
57,"['short', 'house', 'tour', 'video', 'today']",[],[]
58,"['short', 'house', 'tour', 'video', 'today']",[],[]
59,"['short', 'house', 'tour', 'video', 'today']",[],[]
60,"['short', 'house', 'tour', 'video', 'today']",[],[]
61,"['short', 'house', 'tour', 'video', 'today']",[],[]
62,"['short', 'house', 'tour', 'video', 'today']",[],[]
63,"['short', 'house', 'tour', 'video', 'today']",[],[]
64,"['short', 'house', 'tour', 'video', 'today']",[],[]
65,"['short', 'house', 'tour', 'video', 'today']",[],[]
66,"['short', 'house', 'tour', 'video', 'today']",[],[]
67,"['short', 'house', 'tour', 'video', 'today']",[],[]
68,"['short', 'house', 'tour', 'video', 'today']",[],[]
69,"['short', 'house', 'tour', 'video', 'today']",[],[]
70,"['short', 'house', 'tour', 'video', 'today']",[],[]
71,"['short', 'house', 'tour', 'video', 'today']",[],[]
72,"['short', 'house', 'tour', 'video', 'today']",[],[]
73,"['short', 'house', 'tour', 'video', 'today']",[],[]
74,"['short', 'house', 'tour', 'video', 'today']",[],[]
75,"['short', 'house', 'tour', 'video', 'today']",[],[]
76,"['short', 'house', 'tour', 'video', 'today']",[],[]
77,"['short', 'house', 'tour', 'video', 'today']",[],[]
78,"['short', 'house', 'tour', 'video', 'today']",[],[]
79,"['short', 'house', 'tour', 'video', 'today']",[],[]
80,"['short', 'house', 'tour', 'video', 'today']",[],[]
81,"['short', 'house', 'tour', 'video', 'today']",[],[]
82,"['short', 'house', 'tour', 'video', 'today']",[],[]
83,"['short', 'house', 'tour', 'video', 'today']",[],[]
84,"['short', 'house', 'tour', 'video', 'today']",[],[]
85,"['short', 'house', 'tour', 'video', 'today']",[],[]
86,"['short', 'house', 'tour', 'video', 'today']",[],[]
87,"['short', 'house', 'tour', 'video', 'today']",[],[]
88,"['short', 'house', 'tour', 'video', 'today']",[],[]
89,"['short', 'house', 'tour', 'video', 'today']",[],[]
90,"['short', 'house', 'tour', 'video', 'today']",[],[]
90,['silence'],[],[]
90,['apartment'],[],[]
91,['apartment'],[],[]
92,['apartment'],[],[]
93,['apartment'],[],[]
94,['apartment'],[],[]
95,['apartment'],[],[]
96,['apartment'],[],[]
97,['apartment'],[],[]
98,['apartment'],[],[]
99,['apartment'],[],[]
100,['apartment'],[],[]
101,['apartment'],[],[]
102,['apartment'],[],[]
103,['apartment'],[],[]
104,['apartment'],[],[]
105,['apartment'],[],[]
106,['apartment'],[],[]
107,['apartment'],[],[]
108,['apartment'],[],[]
109,['apartment'],[],[]
110,['apartment'],[],[]
111,['apartment'],[],[]
112,['apartment'],[],[]
113,['apartment'],[],[]
114,['apartment'],[],[]
115,['apartment'],[],[]
116,['apartment'],[],[]
117,['apartment'],[],[]
118,['apartment'],[],[]
119,['apartment'],[],[]
120,['apartment'],[],[]
121,['apartment'],[],[]
122,['apartment'],[],[]
123,['apartment'],[],[]
124,['apartment'],[],[]
125,['apartment'],[],[]
126,['apartment'],[],[]
127,['apartment'],[],[]
128,['apartment'],[],[]
129,['apartment'],[],[]
130,['apartment'],[],[]
131,['apartment'],[],[]
132,['apartment'],[],[]
133,['apartment'],[],[]
134,['apartment'],[],[]
135,['apartment'],[],[]
136,['apartment'],[],[]
137,['apartment'],[],[]
138,['apartment'],[],[]
139,['apartment'],[],[]
140,['apartment'],[],[]
141,['apartment'],[],[]
142,['apartment'],[],[]
143,['apartment'],[],[]
144,['apartment'],[],[]
145,['apartment'],[],[]
146,['apartment'],[],[]
147,['apartment'],[],[]
148,['apartment'],[],[]
149,['apartment'],[],[]
150,['apartment'],[],[]
150,['silence'],[],[]
150,[],[],[]
151,[],[],[]
152,[],[],[]
153,[],[],[]
154,[],[],[]
155,[],[],[]
156,[],[],[]
157,[],[],[]
158,[],[],[]
159,[],[],[]
160,[],[],[]
161,[],[],[]
162,[],[],[]
163,[],[],[]
164,[],[],[]
165,[],[],[]
166,[],[],[]
167,[],[],[]
168,[],[],[]
169,[],[],[]
170,[],[],[]
171,[],[],[]
172,[],[],[]
173,[],[],[]
174,[],[],[]
175,[],[],[]
176,[],[],[]
177,[],[],[]
178,[],[],[]
179,[],[],[]
180,[],[],[]
180,['silence'],[],[]
180,"['yeah', 'hallway']",[],[]
181,"['yeah', 'hallway']",[],[]
182,"['yeah', 'hallway']",[],[]
183,"['yeah', 'hallway']",[],[]
184,"['yeah', 'hallway']",[],[]
185,"['yeah', 'hallway']",[],[]
186,"['yeah', 'hallway']",[],[]
187,"['yeah', 'hallway']",[],[]
188,"['yeah', 'hallway']",[],[]
189,"['yeah', 'hallway']",[],[]
190,"['yeah', 'hallway']",[],[]
191,"['yeah', 'hallway']",[],[]
192,"['yeah', 'hallway']",[],[]
193,"['yeah', 'hallway']",[],[]
194,"['yeah', 'hallway']",[],[]
195,"['yeah', 'hallway']",[],[]
196,"['yeah', 'hallway']",[],[]
197,"['yeah', 'hallway']",[],[]
198,"['yeah', 'hallway']",[],[]
199,"['yeah', 'hallway']",[],[]
200,"['yeah', 'hallway']",[],[]
201,"['yeah', 'hallway']",[],[]
202,"['yeah', 'hallway']",[],[]
203,"['yeah', 'hallway']",[],[]
204,"['yeah', 'hallway']",[],[]
205,"['yeah', 'hallway']",[],[]
206,"['yeah', 'hallway']",[],[]
207,"['yeah', 'hallway']",[],[]
208,"['yeah', 'hallway']",[],[]
209,"['yeah', 'hallway']",[],[]
210,"['yeah', 'hallway']",[],[]
211,"['yeah', 'hallway']",[],[]
212,"['yeah', 'hallway']",[],[]
213,"['yeah', 'hallway']",[],[]
214,"['yeah', 'hallway']",[],[]
215,"['yeah', 'hallway']",[],[]
216,"['yeah', 'hallway']",[],[]
217,"['yeah', 'hallway']",[],[]
218,"['yeah', 'hallway']",[],[]
219,"['yeah', 'hallway']",[],[]
220,"['yeah', 'hallway']",[],[]
221,"['yeah', 'hallway']",[],[]
